,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.SB,location.geoIdV4.ZI,vintage.lastModified,vintage.pubDate,location.geoIdV4.N4,identifier.apnOrig,location.geoIdV4.PL
3931,26519736,34029,07  01430-  07-00006,26519736,US,NJ,29 SANFORD RD,"BRICK, NJ 08724",BRICK,ExaStr,"29 SANFORD RD, BRICK, NJ 08724",08724,7137,C031,Rooftop,40.102010,-74.145577,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3932,26542418,34029,0701386000000010        C334,26542418,US,NJ,96 CREEK RD # 334,"BRICK, NJ 08724",BRICK,ExaStr,"96 CREEK RD # 334, BRICK, NJ 08724",08724,3314,C038,Rooftop,40.107214,-74.113657,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"92b7e3a00ec3da5d1339fc2f573358a5,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C334,
3933,26625554,34029,07  01429-  02-00002-0000-C1172,26625554,US,NJ,1172 RACHEL CT,"BRICK, NJ 08724",BRICK,ExaStr,"1172 RACHEL CT, BRICK, NJ 08724",08724,7167,C073,Rooftop,40.106100,-74.141689,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3934,26704464,34029,07  01210-  15-00002-0000-C1003,26704464,US,NJ,1003 GARDENIA DR,"BRICK, NJ 08724",BRICK,ExaStr,"1003 GARDENIA DR, BRICK, NJ 08724",08724,0718,C069,Rooftop,40.096442,-74.126465,0.0,"CO34029, CS3407420, DB3402220, RS0004804669, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,fb246c804c119eb6965988f247ca44e3,,
3935,26704465,34029,0701386000000010        C335,26704465,US,NJ,98 CREEK RD # 335,"BRICK, NJ 08724",BRICK,ExaStr,"98 CREEK RD # 335, BRICK, NJ 08724",08724,3314,C038,Rooftop,40.107248,-74.113697,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"92b7e3a00ec3da5d1339fc2f573358a5,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C335,
3936,26704466,34029,0701386000000010        C336,26704466,US,NJ,100 CREEK RD # 336,"BRICK, NJ 08724",BRICK,ExaStr,"100 CREEK RD # 336, BRICK, NJ 08724",08724,3304,C038,Rooftop,40.107248,-74.113697,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C336,
3937,26704467,34029,0701386000000010        C337,26704467,US,NJ,102 CREEK RD # 337,"BRICK, NJ 08724",BRICK,ExaStr,"102 CREEK RD # 337, BRICK, NJ 08724",08724,3304,C038,Rooftop,40.107281,-74.113737,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,,,,,2022-01-20,2022-01-20,,0701386000000010C337,
3938,26704468,34029,0701386000000010        C338,26704468,US,NJ,104 CREEK RD # 338,"BRICK, NJ 08724",BRICK,ExaStr,"104 CREEK RD # 338, BRICK, NJ 08724",08724,3304,C038,Rooftop,40.107311,-74.113770,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C338,
3939,26704469,34029,0701386000000010        C339,26704469,US,NJ,106 CREEK RD # 339,"BRICK, NJ 08724",BRICK,ExaStr,"106 CREEK RD # 339, BRICK, NJ 08724",08724,3304,C038,Rooftop,40.107855,-74.112075,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,,,,,2022-01-20,2022-01-20,,0701386000000010C339,
3940,26704470,34029,0701386000000010        C340,26704470,US,NJ,108 CREEK RD # 340,"BRICK, NJ 08724",BRICK,ExaStr,"108 CREEK RD # 340, BRICK, NJ 08724",08724,3304,C038,Rooftop,40.107381,-74.113858,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C340,
3941,26704471,34029,0701386000000010        C283,26704471,US,NJ,50 CREEK RD # 283,"BRICK, NJ 08724",BRICK,ExaStr,"50 CREEK RD # 283, BRICK, NJ 08724",08724,3302,C038,Rooftop,40.107503,-74.112695,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"475ef681997e7335410adec0f217cb1f,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C283,
3942,26704472,34029,0701386000000010        C299,26704472,US,NJ,54 CREEK RD # 299,"BRICK, NJ 08724",BRICK,ExaStr,"54 CREEK RD # 299, BRICK, NJ 08724",08724,3303,C038,Rooftop,40.107690,-74.113422,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C299,
3943,26730052,34029,07  01086-  02-00006,26730052,US,NJ,510 AZALEA DR,"BRICK, NJ 08724",BRICK,ExaStr,"510 AZALEA DR, BRICK, NJ 08724",08724,2732,C030,Rooftop,40.086177,-74.101115,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3944,26801047,34029,0701386000000010        C087,26801047,US,NJ,297A SAWMILL RD # 87,"BRICK, NJ 08724",BRICK,ExaStr,"297A SAWMILL RD # 87, BRICK, NJ 08724",08724,1329,C025,Street,40.108231,-74.108315,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,2020-11-27,2020-11-27,13a27d1e870d4b35ac76fd6f8b54a80c,0701386000000010C087,
3945,26816771,34029,07  01429-  02-00002-0000-C0024,26816771,US,NJ,24 ADRIANA CT,"BRICK, NJ 08724",BRICK,ExaStr,"24 ADRIANA CT, BRICK, NJ 08724",08724,7101,C073,Rooftop,40.099985,-74.144548,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3946,26816774,34029,07  01427-0000-00005-0000-C0098,26816774,US,NJ,98 BRIAR MILLS DR,"BRICK, NJ 08724",BRICK,ExaStr,"98 BRIAR MILLS DR, BRICK, NJ 08724",08724,1400,C080,Rooftop,40.106865,-74.133286,0.0,"CO34029, CS3407420, DB3402220, RS0000305954, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,b34509458f4b6e207e3e7e123db964eb,,
3947,26824822,34029,07  00870-0000-00040-  01,26824822,US,NJ,220 PRINCETON AVE,"BRICK, NJ 08724",BRICK,ExaStr,"220 PRINCETON AVE, BRICK, NJ 08724",08724,4372,C061,Rooftop,40.060993,-74.112772,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3948,26892702,34029,07  00870-  03-00028,26892702,US,NJ,11 BRANT DR,"BRICK, NJ 08724",BRICK,ExaStr,"11 BRANT DR, BRICK, NJ 08724",08724,5023,C070,Rooftop,40.067444,-74.113116,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
3949,26892703,34029,07  01052-0000-00025,26892703,US,NJ,125 ROOSEVELT DR,"BRICK, NJ 08724",BRICK,ExaStr,"125 ROOSEVELT DR, BRICK, NJ 08724",08724,2723,C010,Rooftop,40.081067,-74.105401,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"77f11cd01f2162689f97758fc8213ad1,53bd123c0708f40f4ccacec2a40fc6a4",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
